Client Hardware Details V2 Manufacturer,Client Hardware Details V2 Manufacturer,Client Hardware Details V2 Cores,Client Hardware Details V2 Manufacturer,Client Hardware Details V2 Device Name
"micro-star international co., ltd.",amd ryzen 5 3500x 6-core processor             ,6,zxzk  hymini61,keyboard
"micro-star international co., ltd.",12th gen intel(r) core(tm) i5-12400f,12,zxzk  hy-61 64,keyboard
"micro-star international co., ltd.",amd ryzen 7 5700x 8-core processor             ,16,zxzk  hy-61 64,keyboard
lenovo,amd ryzen 7 7435hs                             ,16,zxzk  flash ic,keyboard
"micro-star international co., ltd.",intel(r) core(tm) i5-9400f cpu @ 2.90ghz,6,zxzk  flash ic,keyboard
pcspecialist,intel(r) core(tm) i5-14400f,16,yxtrfyy 8k ,keyboard
hp,12th gen intel(r) core(tm) i5-12450h,12,yspringtech,mouse
"micro-star international co., ltd.",amd ryzen 5 3500x 6-core processor             ,6,yspringtech,mouse
"gigabyte technology co., ltd.",intel(r) core(tm) i5-14600k,20,yspringtech,mouse
lenovo,amd ryzen 5 5600h with radeon graphics         ,12,yspringtech,mouse
"micro-star international co., ltd.",13th gen intel(r) core(tm) i7-13620h,16,yspringtech,mouse
hp,12th gen intel(r) core(tm) i5-12450h,12,yspring,mouse
"micro-star international co., ltd.",amd ryzen 5 3500x 6-core processor             ,6,yspring,mouse
"gigabyte technology co., ltd.",amd ryzen 5 9600x 6-core processor             ,6,yjx-chip,keyboard
"gigabyte technology co., ltd.",amd ryzen 5 9600x 6-core processor             ,6,yjx-chip,mouse
"gigabyte technology co., ltd.",amd ryzen 5 5600g with radeon graphics         ,12,yichip,keyboard
"gigabyte technology co., ltd.",amd ryzen 5 5600g with radeon graphics         ,12,yichip,mouse
"micro-star international co., ltd.",amd ryzen 7 9700x 8-core processor             ,16,xppen technology,mouse
asustek computer inc.,13th gen intel(r) core(tm) i7-13620h,16,xppen technology,mouse
system manufacturer,amd ryzen 5 5600x 6-core processor             ,12,xppen technology,mouse
asustek computer inc.,amd ryzen 9 8945h w/ radeon 780m graphics      ,16,xppen technology,mouse
lenovo,intel(r) core(tm) i9-14900hx,32,xppen technology,mouse
